TITLE,,,,
AIMS - Weather Stations data export,,,,
,,,,
DATE CREATED,,,,
2021-11-18T09:19:33,,,,
,,,,
ATTRIBUTION,,,,
http://www.aims.gov.au/docs/cc-attribution.html,,,,
,,,,
DISCLAIMER,,,,
http://www.aims.gov.au/docs/disclaimer.html,,,,
,,,,
PRIVACY,,,,
http://www.aims.gov.au/docs/privacy-policy.html,,,,
,,,,
COPYRIGHT,,,,
http://www.aims.gov.au/docs/cc-copyright.html,,,,
,,,,
COMMENT,,,,
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. ",,,,
,,,,
DATA BETWEEN DATES,,,,
2014-09-01T00:00:00+1000,9/1/2014,0:00:00,1.41E+09,24.36263
2014-10-01T00:00:00+1000,10/1/2014,0:00:00,1.41E+09,25.08702903
2014-11-01T00:00:00+1000,11/1/2014,0:00:00,1.41E+09,Not available
2015-03-01T00:00:00+1000,3/1/2015,0:00:00,1.43E+09,28.11928
2015-04-01T00:00:00+1000,4/1/2015,0:00:00,1.43E+09,27.22297
2015-05-01T00:00:00+1000,5/1/2015,0:00:00,1.43E+09,25.83772258
2015-06-01T00:00:00+1000,6/1/2015,0:00:00,1.43E+09,24.58468
2015-07-01T00:00:00+1000,7/1/2015,0:00:00,1.44E+09,23.87422581
2015-08-01T00:00:00+1000,8/1/2015,0:00:00,1.44E+09,23.76357097
2015-09-01T00:00:00+1000,9/1/2015,0:00:00,1.44E+09,24.41873667
2015-10-01T00:00:00+1000,10/1/2015,0:00:00,1.44E+09,24.28635806
2015-11-01T00:00:00+1000,11/1/2015,0:00:00,1.45E+09,26.07881
2015-12-01T00:00:00+1000,12/1/2015,0:00:00,1.45E+09,27.20087742
2016-01-01T00:00:00+1000,1/1/2016,0:00:00,1.45E+09,28.06037097
2016-02-01T00:00:00+1000,2/1/2016,0:00:00,1.45E+09,28.99000345
2016-03-01T00:00:00+1000,3/1/2016,0:00:00,1.46E+09,29.10309355
2016-10-01T00:00:00+1000,10/1/2016,0:00:00,1.48E+09,26.61164333
2016-11-01T00:00:00+1000,11/1/2016,0:00:00,1.48E+09,27.34100667
2016-12-01T00:00:00+1000,12/1/2016,0:00:00,1.48E+09,28.02639355
2017-01-01T00:00:00+1000,1/1/2017,0:00:00,1.48E+09,29.1391
2017-02-01T00:00:00+1000,2/1/2017,0:00:00,1.49E+09,29.460875
2017-03-01T00:00:00+1000,3/1/2017,0:00:00,1.49E+09,29.53817742
2017-04-01T00:00:00+1000,4/1/2017,0:00:00,1.49E+09,27.9656
2017-05-01T00:00:00+1000,5/1/2017,0:00:00,1.49E+09,26.16950968
2017-06-01T00:00:00+1000,6/1/2017,0:00:00,1.50E+09,24.73688667
2017-07-01T00:00:00+1000,7/1/2017,0:00:00,1.50E+09,24.65752581
2017-08-01T00:00:00+1000,8/1/2017,0:00:00,1.50E+09,24.80363871
2017-09-01T00:00:00+1000,9/1/2017,0:00:00,1.50E+09,24.72009667
2017-10-01T00:00:00+1000,10/1/2017,0:00:00,1.51E+09,25.88487742
2017-11-01T00:00:00+1000,11/1/2017,0:00:00,1.51E+09,26.83043667
2017-12-01T00:00:00+1000,12/1/2017,0:00:00,1.51E+09,28.10631613
2018-01-01T00:00:00+1000,1/1/2018,0:00:00,1.51E+09,28.44622258
2018-02-01T00:00:00+1000,2/1/2018,0:00:00,1.52E+09,28.77453571
2018-03-01T00:00:00+1000,3/1/2018,0:00:00,1.52E+09,28.37185455
2018-09-01T00:00:00+1000,9/1/2018,0:00:00,1.54E+09,24.79874333
2018-10-01T00:00:00+1000,10/1/2018,0:00:00,1.54E+09,25.47042903
2018-11-01T00:00:00+1000,11/1/2018,0:00:00,1.54E+09,27.04548
2018-12-01T00:00:00+1000,12/1/2018,0:00:00,1.54E+09,28.29035484
2019-01-01T00:00:00+1000,1/1/2019,0:00:00,1.55E+09,28.20467097
2019-02-01T00:00:00+1000,2/1/2019,0:00:00,1.55E+09,28.69852143
2019-03-01T00:00:00+1000,3/1/2019,0:00:00,1.55E+09,28.34986129
2019-04-01T00:00:00+1000,4/1/2019,0:00:00,1.55E+09,27.45267667
2019-05-01T00:00:00+1000,5/1/2019,0:00:00,1.56E+09,26.2570871
2019-06-01T00:00:00+1000,6/1/2019,0:00:00,1.56E+09,24.64918333
2019-07-01T00:00:00+1000,7/1/2019,0:00:00,1.56E+09,23.57573226
2019-08-01T00:00:00+1000,8/1/2019,0:00:00,1.56E+09,23.39631613
2019-09-01T00:00:00+1000,9/1/2019,0:00:00,1.57E+09,24.01128333
2019-10-01T00:00:00+1000,10/1/2019,0:00:00,1.57E+09,25.03148065
2019-11-01T00:00:00+1000,11/1/2019,0:00:00,1.57E+09,26.11994333
2019-12-01T00:00:00+1000,12/1/2019,0:00:00,1.58E+09,27.70366452
2020-01-01T00:00:00+1000,1/1/2020,0:00:00,1.58E+09,28.73114516
2020-02-01T00:00:00+1000,2/1/2020,0:00:00,1.58E+09,29.42444138
2020-03-01T00:00:00+1000,3/1/2020,0:00:00,1.58E+09,29.00322258
2020-04-01T00:00:00+1000,4/1/2020,0:00:00,1.59E+09,28.20210667
2020-05-01T00:00:00+1000,5/1/2020,0:00:00,1.59E+09,26.65952258
2020-06-01T00:00:00+1000,6/1/2020,0:00:00,1.59E+09,25.29114333
2020-07-01T00:00:00+1000,7/1/2020,0:00:00,1.59E+09,24.92448387
2020-08-01T00:00:00+1000,8/1/2020,0:00:00,1.60E+09,24.96981852
2020-10-01T00:00:00+1000,10/1/2020,0:00:00,1.60E+09,Not available
2020-11-01T00:00:00+1000,11/1/2020,0:00:00,1.60E+09,27.32607
2020-12-01T00:00:00+1000,12/1/2020,0:00:00,1.61E+09,28.54188065
2021-01-01T00:00:00+1000,1/1/2021,0:00:00,1.61E+09,29.08482258
2021-02-01T00:00:00+1000,2/1/2021,0:00:00,1.61E+09,29.04761786
2021-03-01T00:00:00+1000,3/1/2021,0:00:00,1.61E+09,Not available
2021-06-01T00:00:00+1000,6/1/2021,0:00:00,1.62E+09,Not available
2021-07-01T00:00:00+1000,7/1/2021,0:00:00,1.63E+09,25.06819677
2021-08-01T00:00:00+1000,8/1/2021,0:00:00,1.63E+09,24.99563226
2021-09-01T00:00:00+1000,9/1/2021,0:00:00,1.63E+09,25.09001333
2021-10-01T00:00:00+1000,10/1/2021,0:00:00,1.63E+09,26.137585
